shot,shot_position,Cycle time,Clamping force,Peak value plasticizing screw,Transfer volume,Maximum injection pressure,Transfer injection pressure,Injection time,Cushion mass,Dosing time,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Nozzle temperature,Mold protection time,Product_Goodness
635,1,15.53200,799.75317,1.03800,28.24119,680.39264,680.39264,0.36000,20.10675,1.96800,189.60001,194.80000,200.10001,205.00000,210.00000,45.20000,0.66800,1
636,1,15.49600,799.75317,1.09800,28.24119,672.03833,672.03833,0.36000,20.08636,1.97400,189.60001,194.80000,199.80000,205.00000,210.00000,45.20000,0.66400,1
637,1,15.39600,799.75317,1.46000,28.24119,673.78693,673.78693,0.36000,20.09146,1.97000,189.80000,195.10001,200.10001,205.00000,209.80000,45.20000,0.66400,1
638,1,15.55600,799.56873,0.96200,28.24119,683.59839,683.59839,0.36000,20.06598,1.98200,189.80000,195.00000,200.10001,205.00000,209.80000,45.40000,0.66600,1
639,1,15.53400,799.56873,0.85600,28.24119,672.81549,672.52405,0.36000,20.06088,1.97200,189.80000,195.10001,200.10001,205.00000,209.80000,45.20000,0.66600,1
640,1,15.49400,799.75317,1.85000,28.24119,669.90118,669.90118,0.36000,20.07107,1.99000,190.00000,195.30000,200.00000,205.00000,209.80000,45.40000,0.66600,1
641,1,15.39600,799.56873,0.80800,28.24119,676.79834,676.79834,0.36000,20.13224,1.97800,190.10001,195.10001,200.00000,205.00000,210.00000,45.40000,0.66200,1
642,1,15.55600,799.75317,0.88800,28.24119,673.00977,673.00977,0.36000,20.02520,1.98200,190.10001,195.10001,199.80000,205.00000,210.00000,45.40000,0.66200,1
643,1,15.53400,799.38428,0.77400,28.24119,673.78693,673.78693,0.36000,20.09656,1.98200,190.10001,195.10001,200.00000,205.00000,210.00000,45.40000,0.66600,1
644,1,15.49400,799.56873,0.84000,28.24119,674.07837,674.07837,0.36000,20.09146,1.97600,190.30000,195.10001,199.80000,205.00000,210.00000,45.40000,0.66200,1
645,1,15.39800,799.56873,0.79800,28.24119,660.18683,660.18683,0.36000,20.03540,1.97000,190.10001,194.80000,199.80000,205.00000,209.80000,45.40000,0.66200,1
646,1,15.55600,799.56873,0.83800,28.24119,676.60406,676.60406,0.36000,20.03540,2.00000,190.10001,194.80000,199.80000,205.00000,209.80000,45.50000,0.66200,1
647,1,15.53400,799.93762,1.09400,28.24119,667.08398,666.98688,0.36000,20.05578,1.98400,190.30000,194.80000,199.80000,205.00000,209.80000,45.50000,0.66200,1
