Peak value tool,Peak value screw,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Maximum injection pressure,Switch-over pressure,Peak value of mould,Peak value of ejector,Cycle time,Dosing time,Injection time,Mould protection time,Temperature of feed yoke,Material cushion,Switch-over volume,Cylinder heating zone 5,ground_truth
801.598,119.909,214.6,214.8,219.8,225,2206.031,1811.24,3.014,0.148,24.34,2.004,0.454,0.658,39.2,26.682,44.959,229.8,1
801.598,119.909,214.6,214.8,219.8,225,2203.893,1824.354,3.036,0.146,24.34,2.06,0.454,0.656,39,26.814,44.959,229.8,1
801.598,119.909,214.6,214.8,219.8,225,2201.27,1829.891,3.186,0.146,24.342,2.05,0.454,0.658,38.9,26.702,44.989,230,0
801.598,119.909,214.6,214.8,219.8,225,2201.27,1829.891,3.186,0.146,24.342,2.05,0.454,0.658,38.9,26.702,44.989,230,1
801.413,119.909,214.5,214.8,219.8,224.8,2194.762,1853.011,2.806,0.15,24.34,2.04,0.454,0.656,38.9,26.513,44.964,229.8,1
801.413,119.909,214.5,214.8,219.8,224.8,2194.762,1853.011,2.806,0.15,24.34,2.04,0.454,0.656,38.9,26.513,44.964,229.8,1
801.413,119.909,214.3,214.6,219.8,225,2208.265,1846.697,3.716,0.148,24.34,2.038,0.454,0.656,39,26.223,44.984,229.8,1
801.413,119.909,214.6,214.8,219.8,225,2216.328,1855.634,2.794,0.146,24.342,2.034,0.456,0.654,39.2,25.897,44.984,229.8,1
801.413,119.909,214.6,214.8,219.8,225,2216.328,1855.634,2.794,0.146,24.342,2.034,0.456,0.654,39.2,25.897,44.984,229.8,1
801.229,119.909,214.6,214.8,219.8,225,2207.585,1841.84,2.954,0.152,24.34,2.042,0.454,0.658,39.2,25.83,44.984,229.8,1
801.229,119.909,214.6,214.8,219.8,225,2207.585,1841.84,2.954,0.152,24.34,2.042,0.454,0.658,39.2,25.83,44.984,229.8,1
801.598,119.909,214.5,214.8,219.8,225,2211.762,1835.428,3.132,0.15,24.34,2.06,0.454,0.66,39.7,26.024,44.969,229.8,1
801.598,119.909,214.5,214.8,219.8,225,2211.762,1835.428,3.132,0.15,24.34,2.06,0.454,0.66,39.7,26.024,44.969,229.8,0
801.413,119.909,214.8,214.6,219.8,225,2207.099,1843.977,3.322,0.158,24.34,2.046,0.454,0.656,40,25.917,44.999,229.8,0
801.229,119.909,214.6,214.8,220,225,2206.419,1852.525,3.066,0.146,24.342,2.014,0.456,0.658,40.2,25.387,44.943,229.8,1
801.229,119.909,214.6,214.8,220,225,2206.419,1852.525,3.066,0.146,24.342,2.014,0.456,0.658,40.2,25.387,44.943,229.8,1
801.229,119.909,214.6,214.8,219.8,225,2191.653,1869.137,3.036,0.152,24.338,2.062,0.452,0.658,40.5,25.56,44.989,229.8,1
801.229,119.909,214.6,214.8,219.8,225,2191.653,1869.137,3.036,0.152,24.338,2.062,0.452,0.658,40.5,25.56,44.989,229.8,1
801.044,119.909,214.8,215,220,225,2204.573,1861.948,2.842,0.144,24.34,2.046,0.454,0.656,40.5,25.504,44.969,229.8,1
801.598,119.909,214.8,215.1,220,225,2183.396,1859.034,3.222,0.15,24.338,2.042,0.452,0.654,40.9,25.57,44.999,229.8,1
801.598,119.909,214.8,215.1,220,225,2183.396,1859.034,3.222,0.15,24.338,2.042,0.452,0.654,40.9,25.57,44.999,229.8,1
801.598,119.909,214.6,215,220,225,2201.173,1849.514,3.136,0.15,24.34,2.04,0.454,0.656,41.2,25.565,44.974,229.8,1
801.598,119.909,214.6,215,220,225,2201.173,1849.514,3.136,0.15,24.34,2.04,0.454,0.656,41.2,25.565,44.974,229.8,1
801.598,119.909,214.5,215,220,225,2207.293,1858.063,3.08,0.148,24.34,2.062,0.454,0.658,41.4,25.851,44.959,229.8,1
801.598,119.909,214.8,214.8,219.8,224.8,2195.539,1845.92,3.394,0.146,24.34,2.052,0.454,0.654,41.5,26.157,44.959,230,1
801.598,119.909,214.8,214.8,219.8,224.8,2195.539,1845.92,3.394,0.146,24.34,2.052,0.454,0.654,41.5,26.157,44.959,230,1
801.413,119.909,214.6,215.1,219.8,224.8,2210.402,1835.622,3.156,0.144,24.34,2.06,0.454,0.656,41.7,26.36,44.994,229.8,1
801.413,119.909,214.6,215.1,219.8,224.8,2210.402,1835.622,3.156,0.144,24.34,2.06,0.454,0.656,41.7,26.36,44.994,229.8,1
801.782,119.909,214.8,215.1,220,225,2197.87,1813.959,2.846,0.152,24.34,2.05,0.454,0.656,42,26.549,44.999,229.8,1
801.782,119.909,214.8,215.1,220,225,2197.87,1813.959,2.846,0.152,24.34,2.05,0.454,0.656,42,26.549,44.999,229.8,1
801.782,119.909,215.1,215.1,220,225,2209.236,1810.657,3.396,0.15,24.34,2.056,0.454,0.658,42.2,26.84,44.969,229.8,1
801.782,119.909,215.3,215.5,220.1,225,2195.248,1831.251,2.896,0.148,24.34,2.044,0.454,0.654,42.4,26.743,44.969,229.8,0
801.782,119.909,215.3,215.5,220.1,225,2195.248,1831.251,2.896,0.148,24.34,2.044,0.454,0.654,42.4,26.743,44.969,229.8,1
801.966,119.909,215.1,215.5,220.1,225,2197.093,1794.142,2.994,0.146,24.34,2.082,0.454,0.658,42.5,27.242,44.953,229.8,1
801.966,119.909,215.1,215.5,220.1,225,2197.093,1794.142,2.994,0.146,24.34,2.082,0.454,0.658,42.5,27.242,44.953,229.8,1
801.598,119.909,214.6,215.3,220.1,225,2201.659,1800.262,2.798,0.154,24.34,2.048,0.454,0.658,42.7,27.15,44.964,229.8,0
801.966,119.909,214.8,215.1,220.1,225,2204.573,1784.719,2.912,0.152,24.34,2.078,0.454,0.656,42.9,27.446,44.984,229.8,1
801.966,119.909,214.8,215.1,220.1,225,2204.573,1784.719,2.912,0.152,24.34,2.078,0.454,0.656,42.9,27.446,44.984,229.8,1
802.151,119.909,215.3,215.1,220.1,225,2201.756,1782.388,3.378,0.15,24.34,2.054,0.454,0.654,43,27.456,44.964,229.8,1
802.151,119.909,215.3,215.1,220.1,225,2201.756,1782.388,3.378,0.15,24.34,2.054,0.454,0.654,43,27.456,44.964,229.8,1
801.966,119.909,215.3,215.3,220.1,225,2205.448,1776.754,3.438,0.148,24.34,2.072,0.454,0.654,43.2,27.737,44.948,229.8,1
